region,district,district_short,type,type_short,name,latitude,longitude,is_district_shown
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Белозёрный,45.06944,38.72083,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Берёзовый,45.15,38.9925,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Восточный,45.18583,38.77417,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Дорожный,45.1175,39.35278,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Дружелюбный,45.12472,39.16167,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,станица,ст‑ца,Елизаветинская,45.04806,38.79278,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Зеленопольский,45.12194,39.17472,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Знаменский,45.05333,39.14111,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Индустриальный,45.09444,39.11139,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Колосистый,45.135,38.90472,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Копанской,45.17056,38.80333,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,город,г.,Краснодар,45.03333,38.98333,0
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Краснодарский,45.08611,39.04417,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Краснолит,45.15194,38.84111,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Лазурный,45.14389,39.08722,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Ленина,45.02333,39.21944,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Лорис,45.0875,39.12111,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Новый,45.16083,38.80472,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Октябрьский,45.17861,39.09083,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,отделения № 2 СКЗНИИСиВ,45.15222,38.93556,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,отделения № 3 ОПХ КНИИСХ,45.11389,38.91222,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,отделения № 3 СКЗНИИСиВ,45.13278,38.96722,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,отделения № 4 совхоза «Пашковский»,45.01389,39.13361,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Плодородный,45.05833,39.05111,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Победитель,45.12306,39.09861,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Пригородный,45.07361,39.19472,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Разъезд,45.07333,39.2575,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Российский,45.1142,39.0378,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,станица,ст‑ца,Старокорсунская,45.05306,39.31583,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Черников,45.18528,38.8375,1
Краснодарский край,Анапа (город краевого подчинения),гкп Анапа,город,г.,Анапа,44.893857,37.317481,0
Краснодарский край,Анапа (город краевого подчинения),гкп Анапа,станица,ст‑ца,Благовещенская,45.05417,37.12778,1
Краснодарский край,Анапа (город краевого подчинения),гкп Анапа,село,с.,Витязево,44.984144,37.262859,1
Краснодарский край,Анапа (город краевого подчинения),гкп Анапа,хутор,х.,Чембурка,44.92917,37.34611,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,город,г.,Армавир,44.99464,41.12946,0
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,Заветный,44.93333,41.13611,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,хутор,х.,Зуево,44.798301,41.187343,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,хутор,х.,Красин,44.863752,41.161633,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,хутор,х.,Красная Поляна,45.05444,41.10139,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,Маяк,45.031961,40.941213,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,хутор,х.,Первомайский,44.8375,41.16222,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,станица,ст‑ца,Старая Станица,45.0125,41.14944,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,Учебный,44.976127,41.043828,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,центральной усадьбы опытной станции ВНИИМК,44.988451,41.00405,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,центральной усадьбы совхоза «Восток»,45.006781,41.041366,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,центральной усадьбы совхоза «Юбилейный»,45.022692,41.12385,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,Южный,45.022055,41.008686,1
Краснодарский край,Белореченск (город краевого подчинения),гкп Белореченск,город,г.,Белореченск,44.76667,39.86667,0
Краснодарский край,Белореченск (город краевого подчинения),гкп Белореченск,посёлок,п.,Заречный,44.74944,39.8325,1
Краснодарский край,Белореченск (город краевого подчинения),гкп Белореченск,посёлок,п.,Новый,44.72444,39.82472,1
Краснодарский край,Белореченск (город краевого подчинения),гкп Белореченск,посёлок,п.,Южный,44.729758,39.853802,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Адербиевка,44.60222,38.11667,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Архипо‑Осиповка,44.366077,38.534211,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Афонка,44.73333,37.925,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Береговое,44.418892,38.360875,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Бетта,44.374911,38.396375,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Виноградное,44.6375,38.00278,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Возрождение,44.55,38.21472,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,город,г.,Геленджик,44.560999,38.076949,0
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Джанхот,44.46452,38.15627,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Дивноморское,44.50083,38.13528,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Кабардинка,44.651384,37.938355,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Криница,44.385248,38.344288,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Марьина Роща,44.61861,38.02861,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Михайловский Перевал,44.51111,38.32139,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Прасковеевка,44.45083,38.21139,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Пшада,44.47222,38.39722,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,посёлок,п.,Светлый,44.54861,38.1425,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Текос,44.43889,38.46861,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Тешебс,44.37222,38.58889,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Широкая Пшадская Щель,44.49333,38.35222,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Широкая Щель,44.56861,38.17361,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Бакинская,44.75,39.28333,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,село,с.,Безымянное,44.54983,39.1272,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Весёлый,44.503117,39.353917,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,город,г.,Горячий Ключ,44.633284,39.133287,0
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Домики,44.489332,39.393003,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Имеретинская,44.68333,39.43333,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Красный Восток,44.797693,39.464571,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Кура‑Промысел,44.496006,39.372368,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Кура‑Транспортный,44.50278,39.3625,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Кура‑Цеце,44.48556,39.33611,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Кутаис,44.51444,39.29667,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Кутаисская,44.64667,39.31222,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Мартанская,44.75917,39.43444,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Мирный,44.604983,39.001122,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Молькин,44.80417,39.23556,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Октябрьский,44.55572,39.211651,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Папоротный,44.691253,39.019798,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Первомайский,44.69167,39.30278,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Приреченский,44.750099,39.240837,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Промысловый,44.557435,39.30221,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Пятигорская,44.60611,39.03028,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Саратовская,44.70833,39.21667,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Северный,44.82667,39.21306,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Солёный,44.694297,39.265217,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Сорокин,44.736776,39.234576,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Суздальская,44.76278,39.37,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Транспортный,44.546624,39.289912,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,село,с.,Фанагорийское,44.51389,39.11028,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,село,с.,Хребтовое,44.54306,38.96056,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Черноморская,44.70333,39.36389,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Широкая Балка,44.48593,39.413772,1
